clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain
The investment was protected by the,The investment was inflated by the,investment,protected,inflated,ccc263f13ee842bbb352caec07cfd9a9,Financial Economic Frame
The report was published by the,The report was corrupted by the,report,published,corrupted,52af1f2fb1984f988a602dd8399141f6,Academic Scientific Frame
The summary was indexed by the,The summary was compressed by the,summary,indexed,compressed,b709b627569b4e6a9017a95348885818,Information Resources
The prisoner was arrested by the,The prisoner was frozen by the,prisoner,arrested,frozen,1de9abecafb046d5a2975cc64f84a07b,Humans as Physical Entities
The patient was interviewed by the,The patient was burned by the,patient,interviewed,burned,f575d8b2edc446e588357e95538a58db,Humans as Physical Entities
The article was discussed by the,The article was corrupted by the,article,discussed,corrupted,1f5b123c816545378155f765e8b8c33d,Academic Scientific Frame
The contract was drafted by the,The contract was delayed by the,contract,drafted,delayed,d485e4493b5b4f2aa1a4c86e1567cd71,Legal Administrative Frame
The brief was authorized by the,The brief was corrupted by the,brief,authorized,corrupted,ab41a4f6342644af9fa8dc029d68aaed,Legal Administrative Frame
The bus was painted by the,The bus was stranded by the,bus,painted,stranded,3c0aa4bc83d04b0699636ae8bb4fd966,Vehicles and Conveyances
The paper was reviewed by the,The paper was damaged by the,paper,reviewed,damaged,1525814de87c43aaa0a523d1340ad412,Academic Scientific Frame
The program was archived by the,The program was deleted by the,program,archived,deleted,d70308a19ffd4526aba8fbc1cfd3dbf9,Information Resources
The runway was renovated by the,The runway was battered by the,runway,renovated,battered,3442d2569278448097cf353ae8e47759,Physical Structures
The tractor was driven by the,The tractor was damaged by the,tractor,driven,damaged,51d5b63e1a264e0fb036714a11df9ef5,Vehicles and Conveyances
The survey was revised by the,The survey was scrambled by the,survey,revised,scrambled,e800c7849ce545e19619c45172381609,Academic Scientific Frame
The trailer was parked by the,The trailer was crushed by the,trailer,parked,crushed,e9add031870c437d9fcb7e1faeac8dce,Vehicles and Conveyances
The helicopter was painted by the,The helicopter was shaken by the,helicopter,painted,shaken,9d1ce51210df48b1a83e76271fd02c33,Vehicles and Conveyances
The balance was valued by the,The balance was reduced by the,balance,valued,reduced,8eb3cd536e3342b8bba0d8ecf87ab3ba,Financial Economic Frame
The backup was reviewed by the,The backup was scrambled by the,backup,reviewed,scrambled,14e5aebf735f4f32940266bbf1bb045a,Information Resources
The investment was monitored by the,The investment was inflated by the,investment,monitored,inflated,9b7b400faa5a43aabe9c49337d8137a3,Financial Economic Frame
The image was verified by the,The image was damaged by the,image,verified,damaged,fc075aa452c640f8b9b2449fa91cec90,Information Resources
The script was downloaded by the,The script was erased by the,script,downloaded,erased,5d0acaab7cb54c2c89a2b770ec3d48c6,Information Resources
The worker was transported by the,The worker was burned by the,worker,transported,burned,392eaa9ca7eb4f40962d8a30c1b80f4d,Humans as Physical Entities
The paper was revised by the,The paper was damaged by the,paper,revised,damaged,5d0d3939d38a42398e7b12f9560ecb47,Academic Scientific Frame
The tunnel was monitored by the,The tunnel was destroyed by the,tunnel,monitored,destroyed,f0958e082918444dbed2e8830002400f,Physical Structures
The contract was processed by the,The contract was erased by the,contract,processed,erased,6c4c32d4906c4659af71f4e466629b21,Legal Administrative Frame
The runway was secured by the,The runway was destroyed by the,runway,secured,destroyed,44a7b5f33d9d4c2080fc018918a2ef6d,Physical Structures
The tractor was driven by the,The tractor was overturned by the,tractor,driven,overturned,516b4c4696ba45dbaae6cc29e1083cb0,Vehicles and Conveyances
The savings was protected by the,The savings was exhausted by the,savings,protected,exhausted,897360bd429445988aeaec84b0d3e814,Financial Economic Frame
The order was filed by the,The order was erased by the,order,filed,erased,be13aa6647f440b899c13cf6a810de18,Legal Administrative Frame
The survey was archived by the,The survey was delayed by the,survey,archived,delayed,1b3cc750d4044dbeaa0442c2f4ef3b6a,Academic Scientific Frame
The stadium was designed by the,The stadium was battered by the,stadium,designed,battered,3a539b6842614122959042dd967c477c,Physical Structures
The archive was cited by the,The archive was obscured by the,archive,cited,obscured,4e34bae2f23c4c40a52521dbca27fc71,Academic Scientific Frame
The pedestrian was rescued by the,The pedestrian was trapped by the,pedestrian,rescued,trapped,b8461bac8d5f44f1a57011434e429e60,Humans as Physical Entities
The monument was designed by the,The monument was flooded by the,monument,designed,flooded,8166f7e4954f4d6b98718abcee4187b6,Physical Structures
The terminal was monitored by the,The terminal was blocked by the,terminal,monitored,blocked,395412eb29a34b7b9e13ef5c70fdb241,Physical Structures
The warehouse was designed by the,The warehouse was battered by the,warehouse,designed,battered,107f37eced454476a790c59bc7ee91c0,Physical Structures
The investment was monitored by the,The investment was drained by the,investment,monitored,drained,6680c48f86944d2bbf500aa3f801213c,Financial Economic Frame
The dam was monitored by the,The dam was flooded by the,dam,monitored,flooded,b0c7a25d158f4b109d7442b96a60544e,Physical Structures
The brief was authorized by the,The brief was damaged by the,brief,authorized,damaged,5cad43012f82477eaca2c6f20b5261c2,Legal Administrative Frame
The transcript was uploaded by the,The transcript was scrambled by the,transcript,uploaded,scrambled,9c3233a5758248dd83ecf3494c8787e3,Information Resources
The policy was drafted by the,The policy was buried by the,policy,drafted,buried,6ed3e45f64ec4b71b430e56c9c20a51e,Legal Administrative Frame
The warrant was authorized by the,The warrant was corrupted by the,warrant,authorized,corrupted,59498d133a8b4005bf499e511ff1bfe7,Legal Administrative Frame
The girl was rescued by the,The girl was trapped by the,girl,rescued,trapped,578ba6c1b82e4857abec5c80c88b34e2,Humans as Physical Entities
The ship was parked by the,The ship was stranded by the,ship,parked,stranded,254944457f82474b930874efa7c759a9,Vehicles and Conveyances
The tram was repaired by the,The tram was overturned by the,tram,repaired,overturned,fd31c7b0d8ce4425b01d5fb351573ce1,Vehicles and Conveyances
The flower was studied by the,The flower was infected by the,flower,studied,infected,053f37305e3b417585dd9d8754dcec39,Biological Organisms
The formula was archived by the,The formula was damaged by the,formula,archived,damaged,d32a869fe5ee4c12b3590da357338ca1,Academic Scientific Frame
The soldier was interviewed by the,The soldier was crushed by the,soldier,interviewed,crushed,6a7cc8c4bbb449dbb26302aac90158bc,Humans as Physical Entities
The car was loaded by the,The car was damaged by the,car,loaded,damaged,7d2521df75c04e53a6b0e718cfdfeeaf,Vehicles and Conveyances
The claim was drafted by the,The claim was erased by the,claim,drafted,erased,8b3d0fb68cb44ffbb4073eab4f656999,Legal Administrative Frame
The transcript was archived by the,The transcript was delayed by the,transcript,archived,delayed,7fc2efd877934b2693479afd43e8525a,Academic Scientific Frame
The farmer was arrested by the,The farmer was frozen by the,farmer,arrested,frozen,e6cce9c4fd1f4c42962df0de8534bced,Humans as Physical Entities
The cyclist was transported by the,The cyclist was struck by the,cyclist,transported,struck,df618470b0bb45689c6bb8f3a839bff3,Humans as Physical Entities
The pudding was flavored by the,The pudding was tainted by the,pudding,flavored,tainted,b360d82697aa4683a502aedd7b979461,Culinary Frame
The certificate was reviewed by the,The certificate was corrupted by the,certificate,reviewed,corrupted,73122b7cb9a140e0b0fc7897e75f8fdd,Legal Administrative Frame
The sweater was tailored by the,The sweater was shredded by the,sweater,tailored,shredded,b9941a907fda46cbbf3ceb759a2bd99d,Textile Garment Frame
The runway was financed by the,The runway was blocked by the,runway,financed,blocked,68227efee32b4f8fb28d424a4de91823,Physical Structures
The driver was arrested by the,The driver was frozen by the,driver,arrested,frozen,051dbcefc17149e68c72c91cfa3a9bb1,Humans as Physical Entities
The dataset was reviewed by the,The dataset was compressed by the,dataset,reviewed,compressed,2f41df4c615643b88033124e695175e6,Information Resources
The image was published by the,The image was erased by the,image,published,erased,a5cdf49a3b7c49d28f9a1f155f60fca4,Academic Scientific Frame
The brief was processed by the,The brief was burned by the,brief,processed,burned,63fdea458f5b47519eff5f7d474c7171,Legal Administrative Frame
The transcript was discussed by the,The transcript was erased by the,transcript,discussed,erased,22183ade80074a9f9177f9b1a45b7e01,Academic Scientific Frame
The canoe was inspected by the,The canoe was buried by the,canoe,inspected,buried,3d3c9deb83834e3aa5b764fe00560aa9,Vehicles and Conveyances
The house was renovated by the,The house was shaken by the,house,renovated,shaken,d437389e297f473cae9e7a2ea75d2e1d,Physical Structures
The prisoner was identified by the,The prisoner was blinded by the,prisoner,identified,blinded,1d84256695fe49b49a871105288ae2d5,Humans as Physical Entities
The profile was indexed by the,The profile was scrambled by the,profile,indexed,scrambled,66c01e9bf30f4e53b10389ea53d9ca4d,Information Resources
The filing was authorized by the,The filing was erased by the,filing,authorized,erased,44100db1fdc242aaa75f3c6181fbdc19,Legal Administrative Frame
The model was uploaded by the,The model was erased by the,model,uploaded,erased,3588b09e460b41679407ac4e67ecd4ec,Information Resources
The library was designed by the,The library was battered by the,library,designed,battered,0b8bd1e70e42421d8174b8552d07ed9c,Physical Structures
The video was indexed by the,The video was compressed by the,video,indexed,compressed,f69052466b684a2388958e2c6ab658fe,Information Resources
The robe was displayed by the,The robe was torn by the,robe,displayed,torn,dd42918371a84e3285d511d7746db81a,Textile Garment Frame
The brief was processed by the,The brief was blocked by the,brief,processed,blocked,9777ddaf6e454985b11e8e807433938e,Legal Administrative Frame
The grant was managed by the,The grant was drained by the,grant,managed,drained,f097c8e6b9cc477caea8b34b2800b407,Financial Economic Frame
The uniform was washed by the,The uniform was stained by the,uniform,washed,stained,0c5c4b0b33e740b0824afa86321c52ad,Textile Garment Frame
The record was reviewed by the,The record was scrambled by the,record,reviewed,scrambled,8a1f10886d1a4ba4b0688e01444aae92,Information Resources
The victim was examined by the,The victim was buried by the,victim,examined,buried,92e9da228b0e40d39510872ab4e1c7e7,Humans as Physical Entities
The program was reviewed by the,The program was distorted by the,program,reviewed,distorted,7df3c20eb6a14a28808c3bcad873e781,Information Resources
The complaint was reviewed by the,The complaint was erased by the,complaint,reviewed,erased,7e48c07da2104a9f88c703a80215caf4,Legal Administrative Frame
The pine was cultivated by the,The pine was infected by the,pine,cultivated,infected,8c2a147754e64d0c8d81ffbf18a04856,Biological Organisms
The helicopter was purchased by the,The helicopter was destroyed by the,helicopter,purchased,destroyed,8eeb9c2c67b044d3ad5d16d32f7df66a,Vehicles and Conveyances
The stuffing was flavored by the,The stuffing was contaminated by the,stuffing,flavored,contaminated,be2b235446d142f2b905e716a4f5747f,Culinary Frame
The subsidy was managed by the,The subsidy was disrupted by the,subsidy,managed,disrupted,68570de0eda84db09703eac101a94576,Financial Economic Frame
The rose was studied by the,The rose was frozen by the,rose,studied,frozen,2282eedd3f724ca88b79d24203f8858b,Biological Organisms
The sauce was seasoned by the,The sauce was frozen by the,sauce,seasoned,frozen,ddb79b4c98db4fa5b515684d01000ef8,Culinary Frame
The claim was recorded by the,The claim was shredded by the,claim,recorded,shredded,f600db5436f44039bafd6daa5f0b719e,Legal Administrative Frame
The profit was reviewed by the,The profit was drained by the,profit,reviewed,drained,0c0e57c0583c473182749569c902349e,Financial Economic Frame
The factory was maintained by the,The factory was destroyed by the,factory,maintained,destroyed,6886701c7a8543ee906d826eb359633c,Physical Structures
The harbor was maintained by the,The harbor was damaged by the,harbor,maintained,damaged,903ecda0b4f943a08bf60614878169fe,Physical Structures
The runway was repaired by the,The runway was buried by the,runway,repaired,buried,db33a5c196084427837997cac272ad4c,Physical Structures
The video was archived by the,The video was scrambled by the,video,archived,scrambled,0c5d1040e5454f578ac1358811f19cd3,Information Resources
The car was painted by the,The car was damaged by the,car,painted,damaged,4cb558fe92294d57bd8adc9b67759c73,Vehicles and Conveyances
The dam was surveyed by the,The dam was destroyed by the,dam,surveyed,destroyed,6f8227ac29984928859d508d2f29d10c,Physical Structures
The affidavit was authorized by the,The affidavit was erased by the,affidavit,authorized,erased,655fbf64e8d84410ab971d5d39aaf6bf,Legal Administrative Frame
The summary was uploaded by the,The summary was deleted by the,summary,uploaded,deleted,4ab2bd09aca145b09ffe2876486a17e1,Information Resources
The bridge was renovated by the,The bridge was damaged by the,bridge,renovated,damaged,4fc3d0996c00414bb852c9adb9d27e44,Physical Structures
The bush was protected by the,The bush was infected by the,bush,protected,infected,add9acfe2ec6433e9d1bfdeee926c591,Biological Organisms
The manuscript was reviewed by the,The manuscript was scrambled by the,manuscript,reviewed,scrambled,947011da4c5b4f73956b23219a04be95,Information Resources
The income was reported by the,The income was inflated by the,income,reported,inflated,68011b9fa42545f6809f735fc4171f62,Financial Economic Frame
The paper was validated by the,The paper was scrambled by the,paper,validated,scrambled,68ace2f6962f4f25a05c3ae729895e39,Academic Scientific Frame
The brief was filed by the,The brief was shredded by the,brief,filed,shredded,99bec62c49ba448581cb864af65b5869,Legal Administrative Frame
The maple was cultivated by the,The maple was stripped by the,maple,cultivated,stripped,aa6764b46f32498d92e20268ddab1476,Biological Organisms
The profile was shared by the,The profile was damaged by the,profile,shared,damaged,cb947e2974c74b8db409dd180c26bcd3,Information Resources
The tunnel was inspected by the,The tunnel was shaken by the,tunnel,inspected,shaken,7cc72b12bc90424584593e9bd048d5f8,Physical Structures
The trailer was designed by the,The trailer was overturned by the,trailer,designed,overturned,2b9d4776888b43feaee5b72635a18f46,Vehicles and Conveyances
The car was inspected by the,The car was damaged by the,car,inspected,damaged,78b348af3dbc4f90807d48978f42a470,Vehicles and Conveyances
The report was analyzed by the,The report was damaged by the,report,analyzed,damaged,b6942ed35bfa4c32b76cc85053c13249,Academic Scientific Frame
The terminal was planned by the,The terminal was flooded by the,terminal,planned,flooded,2a29cc37101443219f17d0ebec5733c8,Physical Structures
The soldier was examined by the,The soldier was struck by the,soldier,examined,struck,bf68d02677d347668d92e95af3facf79,Humans as Physical Entities
The soldier was interviewed by the,The soldier was trapped by the,soldier,interviewed,trapped,cbd927b087f947d7bf00c231b22186dc,Humans as Physical Entities
The submarine was parked by the,The submarine was destroyed by the,submarine,parked,destroyed,7d51f79b779f4487ba86f011d03841d4,Vehicles and Conveyances
The student was examined by the,The student was struck by the,student,examined,struck,54589a9c323a407c81ab52cf36787006,Humans as Physical Entities
The victim was identified by the,The victim was blinded by the,victim,identified,blinded,596797d3e1644d8595a00703e9ed17b4,Humans as Physical Entities
The fund was allocated by the,The fund was constrained by the,fund,allocated,constrained,dc9176143cfb44c7a2c1b7ea0647cdd5,Financial Economic Frame
The backup was archived by the,The backup was compressed by the,backup,archived,compressed,b7f2ace463d1447894925929e65eeddd,Information Resources
The warrant was processed by the,The warrant was shredded by the,warrant,processed,shredded,fc29423f9eb94948b880f98719d536a7,Legal Administrative Frame
The profit was approved by the,The profit was exhausted by the,profit,approved,exhausted,a5448d1659c745c8adf46b40a65a73e1,Financial Economic Frame
The report was translated by the,The report was delayed by the,report,translated,delayed,71eff685843d4a408b79acd884314254,Academic Scientific Frame
The stuffing was chilled by the,The stuffing was tainted by the,stuffing,chilled,tainted,7db4855894cf49e58ded933cf78c9106,Culinary Frame
The warrant was approved by the,The warrant was blocked by the,warrant,approved,blocked,42936f4f8edb4b46804d721d920d9a6d,Legal Administrative Frame
The income was monitored by the,The income was drained by the,income,monitored,drained,cc638f316e6e450e9ddfbfc2f6cd671a,Financial Economic Frame
The trailer was painted by the,The trailer was destroyed by the,trailer,painted,destroyed,a8f89a0d27034a8ab5a5d84f109718d8,Vehicles and Conveyances
The transcript was translated by the,The transcript was erased by the,transcript,translated,erased,b64a1122eded40a790f8efcd9273fa3a,Academic Scientific Frame
The valuation was approved by the,The valuation was depleted by the,valuation,approved,depleted,b6c9fa791457482589261b2a19b61cb7,Financial Economic Frame
The tunnel was inspected by the,The tunnel was destroyed by the,tunnel,inspected,destroyed,3f6333c62aea4682a1fe448b13fc8790,Physical Structures
The image was indexed by the,The image was compressed by the,image,indexed,compressed,ca67748250c74665810066b291af2b6f,Information Resources
The runway was inspected by the,The runway was destroyed by the,runway,inspected,destroyed,5094fa6be34d47d296b6bca3fc1d8617,Physical Structures
The garage was planned by the,The garage was battered by the,garage,planned,battered,8379063fe51b42149b1cbf87956869a7,Physical Structures
The surplus was allocated by the,The surplus was depleted by the,surplus,allocated,depleted,c14e79d1509a44b2adf83801af8edf80,Financial Economic Frame
The canoe was parked by the,The canoe was damaged by the,canoe,parked,damaged,b23f9a0af4f242bba5eb27cca0f7469a,Vehicles and Conveyances
The boat was loaded by the,The boat was buried by the,boat,loaded,buried,ef160369ad214cd2a360436fc6a0f45f,Vehicles and Conveyances
The chapter was reviewed by the,The chapter was delayed by the,chapter,reviewed,delayed,cf75f769721f444b896a2fdfc711263c,Academic Scientific Frame
The terminal was inspected by the,The terminal was damaged by the,terminal,inspected,damaged,b8656961924b4b3ab7175989bd8aa098,Physical Structures
The thesis was cited by the,The thesis was delayed by the,thesis,cited,delayed,470acef9dcdd4c64b0d9a466eefe0ccb,Academic Scientific Frame
The policy was drafted by the,The policy was erased by the,policy,drafted,erased,4b929a2d2b9044ce90f1cfd260093800,Legal Administrative Frame
The warrant was filed by the,The warrant was blocked by the,warrant,filed,blocked,a169d5bfdef547d189d49792b2e7753c,Legal Administrative Frame
The student was identified by the,The student was frozen by the,student,identified,frozen,90e16f3292214ec7b9ed4c1dcacdec11,Humans as Physical Entities
The station was designed by the,The station was buried by the,station,designed,buried,3f398baa90634586b6007cf6c445350c,Physical Structures
The tractor was driven by the,The tractor was buried by the,tractor,driven,buried,24fbfacb67c74e308d99740905065c9e,Vehicles and Conveyances
The library was secured by the,The library was damaged by the,library,secured,damaged,8d53c1ab72f942c8bcae958c4a2f0d69,Physical Structures
The runway was planned by the,The runway was battered by the,runway,planned,battered,5fefbb704f554fc2a11e572db82827f2,Physical Structures
The archive was validated by the,The archive was scrambled by the,archive,validated,scrambled,dc382ece68cb4e53b043be3332927dd5,Academic Scientific Frame
The pudding was seasoned by the,The pudding was contaminated by the,pudding,seasoned,contaminated,3c876b4c84824b6d93d56055d2bf0dd5,Culinary Frame
The filing was filed by the,The filing was blocked by the,filing,filed,blocked,94c30082f52649b9bbf68f05ef580e54,Legal Administrative Frame
The harbor was planned by the,The harbor was buried by the,harbor,planned,buried,02ea320853aa41519754d1612f609cdd,Physical Structures
The archive was discussed by the,The archive was distorted by the,archive,discussed,distorted,2e206e34a61a4363934f397a226d253e,Academic Scientific Frame
The transcript was published by the,The transcript was scrambled by the,transcript,published,scrambled,ccaea879377f4bcba0c948ed7781fc96,Academic Scientific Frame
The summons was drafted by the,The summons was lost by the,summons,drafted,lost,a105684006e148819d9ff11622c487ac,Legal Administrative Frame
The affidavit was drafted by the,The affidavit was damaged by the,affidavit,drafted,damaged,3aff84d0e2dc48938cf2a32e3a3d383f,Legal Administrative Frame
The stuffing was flavored by the,The stuffing was tainted by the,stuffing,flavored,tainted,7a92c31bc17640a984d0937f4c1db598,Culinary Frame
The harbor was financed by the,The harbor was shaken by the,harbor,financed,shaken,10781756d09f461dbb91d8fd224a8fbe,Physical Structures
The protocol was analyzed by the,The protocol was degraded by the,protocol,analyzed,degraded,aba43f9b9bf340eb97c5c638aec734d2,Academic Scientific Frame
The tram was designed by the,The tram was buried by the,tram,designed,buried,55049e8a7d7144449f7cd2a379fa2a17,Vehicles and Conveyances
The allowance was approved by the,The allowance was constrained by the,allowance,approved,constrained,b441a15e84864f62a0bac8c918c2a9e2,Financial Economic Frame
The pedestrian was protected by the,The pedestrian was frozen by the,pedestrian,protected,frozen,c6359af14ffc498a855dc3a5dd0f2c25,Humans as Physical Entities
The income was managed by the,The income was disrupted by the,income,managed,disrupted,a6b03a6abf3e44f7b7d59f92eaa0d4b3,Financial Economic Frame
The neighbor was assisted by the,The neighbor was crushed by the,neighbor,assisted,crushed,9874d218646543f58c865b55c44d2fa1,Humans as Physical Entities
The motion was reviewed by the,The motion was blocked by the,motion,reviewed,blocked,1175a38d45ba4d7baed5e139af6c41eb,Legal Administrative Frame
The sock was tailored by the,The sock was shredded by the,sock,tailored,shredded,5055b19d88ba49b9a9e73405b7b5cf52,Textile Garment Frame
The patient was identified by the,The patient was struck by the,patient,identified,struck,a95ed3ab7bb3498cb9405f2fdcc21b25,Humans as Physical Entities
The neighbor was protected by the,The neighbor was blinded by the,neighbor,protected,blinded,d5296641b76843688a3371f427af228b,Humans as Physical Entities
The driver was rescued by the,The driver was burned by the,driver,rescued,burned,409480238b144d88beff6cdc93a15b85,Humans as Physical Entities
The report was archived by the,The report was corrupted by the,report,archived,corrupted,f8db836de27041158085de35b1017aa9,Information Resources
The deed was recorded by the,The deed was burned by the,deed,recorded,burned,6850528043a24fdd8470359ba804646b,Legal Administrative Frame
The protocol was cited by the,The protocol was degraded by the,protocol,cited,degraded,a7c9085cc2444408b623dde9a5f04118,Academic Scientific Frame
The truck was designed by the,The truck was shaken by the,truck,designed,shaken,304f420fb8f14d4592fab7b52d110078,Vehicles and Conveyances
The survivor was questioned by the,The survivor was buried by the,survivor,questioned,buried,036123452e5f4c8bb2be62fa864ed6cd,Humans as Physical Entities
The car was purchased by the,The car was shaken by the,car,purchased,shaken,131b22c8d57a4b36bafd829b8a02ee57,Vehicles and Conveyances
The record was shared by the,The record was encrypted by the,record,shared,encrypted,e9aadd6471934f08ad8c5679d3f4be44,Information Resources
The shirt was washed by the,The shirt was shredded by the,shirt,washed,shredded,77200a47e0be4e8d8f7950ba79508c0d,Textile Garment Frame
The grant was approved by the,The grant was inflated by the,grant,approved,inflated,80ba8565e9414284a7a147c763e320dd,Financial Economic Frame
The ship was purchased by the,The ship was flooded by the,ship,purchased,flooded,8326afb6fbb24a8cac3893e0f7e0d3ab,Vehicles and Conveyances
The petition was amended by the,The petition was erased by the,petition,amended,erased,1c6dbbaa29174c8b9b13331c1c828493,Legal Administrative Frame
The budget was monitored by the,The budget was reduced by the,budget,monitored,reduced,55249e94b8df4803a00669d5e37c49c7,Financial Economic Frame
The warrant was approved by the,The warrant was delayed by the,warrant,approved,delayed,28f72a4ebc1744a49a8872fe5de822ca,Legal Administrative Frame
The capital was managed by the,The capital was distorted by the,capital,managed,distorted,804a0d878ea4461fadc7d29507fe997b,Financial Economic Frame
The image was reviewed by the,The image was compressed by the,image,reviewed,compressed,af9db83f0c25484aba4bf895d400df38,Information Resources
The abstract was discussed by the,The abstract was degraded by the,abstract,discussed,degraded,8f3cbb9d33d647e88947cddc731b2f8b,Academic Scientific Frame
The license was signed by the,The license was damaged by the,license,signed,damaged,8ce5602f5a5d44e2b447cdc5c7aacac6,Legal Administrative Frame
The roast was seasoned by the,The roast was burned by the,roast,seasoned,burned,2841c4a2048f40da8484ca3627e8bf9d,Culinary Frame
The bunker was renovated by the,The bunker was destroyed by the,bunker,renovated,destroyed,ee132e513788415a9fd70075faf72fca,Physical Structures
The citizen was questioned by the,The citizen was blinded by the,citizen,questioned,blinded,2d3de4652f2e4d62ab56ef5a03c651aa,Humans as Physical Entities
The affidavit was amended by the,The affidavit was shredded by the,affidavit,amended,shredded,36ceafbdee9d4c1e8d0b2c8b8caeaba2,Legal Administrative Frame
The balance was valued by the,The balance was constrained by the,balance,valued,constrained,22716ed687ba49fd9ea9f4fa6c754248,Financial Economic Frame
The worker was assisted by the,The worker was blinded by the,worker,assisted,blinded,d863b068117d4710a97fe7479796f0ea,Humans as Physical Entities
The survivor was assisted by the,The survivor was blinded by the,survivor,assisted,blinded,8cb53520bed743db84c19102f9b66d6e,Humans as Physical Entities
The permit was filed by the,The permit was corrupted by the,permit,filed,corrupted,8caacafb78d24092ad3649c6b88c1ff4,Legal Administrative Frame
The dataset was downloaded by the,The dataset was erased by the,dataset,downloaded,erased,dc0b4fc104d14b549ae769b218344002,Information Resources
The policy was filed by the,The policy was delayed by the,policy,filed,delayed,fcc7e26b51434322ae6194255ffb966e,Legal Administrative Frame
The protocol was validated by the,The protocol was degraded by the,protocol,validated,degraded,ba511d394829428889b0020ef5628492,Academic Scientific Frame
The affidavit was amended by the,The affidavit was blocked by the,affidavit,amended,blocked,97e6fc517c4044c5908846467f2b987e,Legal Administrative Frame
The warrant was filed by the,The warrant was shredded by the,warrant,filed,shredded,3621e1d13ef0436e90ddc273d53c41c4,Legal Administrative Frame
The runway was surveyed by the,The runway was destroyed by the,runway,surveyed,destroyed,4ce366e682594503ac46d710d1248a3f,Physical Structures
The manuscript was published by the,The manuscript was obscured by the,manuscript,published,obscured,ab59cf264c134950ac910b79b6812935,Academic Scientific Frame
The certificate was authorized by the,The certificate was soaked by the,certificate,authorized,soaked,9fe55021d2ac4350a66ebc75effbc90d,Legal Administrative Frame
The surplus was protected by the,The surplus was distorted by the,surplus,protected,distorted,c9b28e71b2924f04829a0f97d09e4e72,Financial Economic Frame
The tree was trimmed by the,The tree was flattened by the,tree,trimmed,flattened,4cea22b2eac741d1b46602f54f2911f0,Biological Organisms
The application was signed by the,The application was damaged by the,application,signed,damaged,57ba73c744b149aab2dcda642fddaf3b,Legal Administrative Frame
The pedestrian was identified by the,The pedestrian was crushed by the,pedestrian,identified,crushed,0899598df2154beaaab0a6e8a3353d87,Humans as Physical Entities
The file was verified by the,The file was damaged by the,file,verified,damaged,4eb208b948a546c69fe228974382d11a,Information Resources
The dataset was cited by the,The dataset was delayed by the,dataset,cited,delayed,f3fc1bd38db842598a3a32fc613eb1dc,Academic Scientific Frame
The roast was prepared by the,The roast was contaminated by the,roast,prepared,contaminated,73d5f2ec50b84bc296e04e932f78ace1,Culinary Frame
The worker was questioned by the,The worker was blinded by the,worker,questioned,blinded,b71037056a914a2293563d19653703d0,Humans as Physical Entities
The profile was uploaded by the,The profile was deleted by the,profile,uploaded,deleted,06d132db75194f0cab9c42555c390a7e,Information Resources
The record was uploaded by the,The record was erased by the,record,uploaded,erased,c99035b0d8d64f6eb52ddfe41ada4ead,Information Resources
The patient was treated by the,The patient was struck by the,patient,treated,struck,2dd2119bb97c4baf8595172dadf83408,Humans as Physical Entities
The profit was managed by the,The profit was inflated by the,profit,managed,inflated,67889e078a254659a340f8964b30d26d,Financial Economic Frame
The archive was validated by the,The archive was distorted by the,archive,validated,distorted,168fe17404b44363853b4a59a274ac6d,Academic Scientific Frame
The transcript was published by the,The transcript was corrupted by the,transcript,published,corrupted,da360df9d93d49488bc3c447b1f9a07e,Academic Scientific Frame
The trailer was loaded by the,The trailer was blocked by the,trailer,loaded,blocked,53e0ed159f364bc9ac1a48405790053f,Vehicles and Conveyances
The surplus was protected by the,The surplus was exhausted by the,surplus,protected,exhausted,157e614f00574d88a5d73b67dc9b7c9f,Financial Economic Frame
The balance was adjusted by the,The balance was exhausted by the,balance,adjusted,exhausted,1ccf30319d7f4ae6a213811d01b40882,Financial Economic Frame
The bush was trimmed by the,The bush was choked by the,bush,trimmed,choked,21a704b0e5194ab8ab9885e05602bafd,Biological Organisms
The trailer was driven by the,The trailer was shaken by the,trailer,driven,shaken,844e8e589a39492e90e227f22b84de94,Vehicles and Conveyances
The subsidy was valued by the,The subsidy was constrained by the,subsidy,valued,constrained,5255f7c6c4e540b680b378a0b35640a7,Financial Economic Frame
The factory was planned by the,The factory was damaged by the,factory,planned,damaged,12125a9d162c49ff9c30817444ba4660,Physical Structures
The soldier was assisted by the,The soldier was crushed by the,soldier,assisted,crushed,38af8ddf4dc04c97b7bfbc9fe1580ea5,Humans as Physical Entities
The backup was shared by the,The backup was compressed by the,backup,shared,compressed,3936334f677846d9858eb64de3ca3d37,Information Resources
The fund was approved by the,The fund was exhausted by the,fund,approved,exhausted,8d2d4d5493e1461db31b2cfd3e192838,Financial Economic Frame
The grant was protected by the,The grant was inflated by the,grant,protected,inflated,196fe5bbd45543f092edc7380c244f5a,Financial Economic Frame
The building was designed by the,The building was shaken by the,building,designed,shaken,887df672e9114f809efdcf98346cbe42,Physical Structures
The balance was monitored by the,The balance was depleted by the,balance,monitored,depleted,a0297ff9525e48b8ab2177aa466b20a1,Financial Economic Frame
The terminal was surveyed by the,The terminal was buried by the,terminal,surveyed,buried,11456a34c929475eb33ad477a254da25,Physical Structures
The brief was reviewed by the,The brief was soaked by the,brief,reviewed,soaked,96189d45a58c45dcb348d5e8d685c6e6,Legal Administrative Frame
